Date,Open,High,Low,Close,Adj Close,Volume
21-12-2022,605.900024,609.150024,589.599976,593.400024,582.088562,9217253
22-12-2022,597,599,587.549988,593.400024,582.088562,8740149
23-12-2022,590,590.700012,571.5,574,563.05835,13047046
26-12-2022,574,601.700012,570.700012,597.099976,585.718018,13201587
27-12-2022,600.400024,603.099976,593.299988,601.900024,590.426575,9638618
28-12-2022,600.900024,607,598.549988,601.049988,589.592712,7988631
29-12-2022,600,618,597.150024,611.799988,600.137817,20130392
30-12-2022,615.25,620.549988,611.349976,613.700012,602.001587,13052895
02-01-2023,614.950012,619.200012,611.200012,612.200012,600.530212,6726084
03-01-2023,614.5,616.599976,610,612.400024,600.726379,6818062
04-01-2023,611.849976,614.950012,604,605.200012,593.663635,7011191
05-01-2023,607,611.599976,601.950012,605.099976,593.565491,8241475
06-01-2023,607.400024,607.450012,597,600.650024,589.200378,7972036
09-01-2023,605,609,600.099976,607.700012,596.115967,8878905
10-01-2023,608.450012,609,590.599976,595.150024,583.805237,10622660
11-01-2023,596.450012,599.5,592.25,596.700012,585.325684,7419630
12-01-2023,597.900024,597.900024,590.099976,594.900024,583.559998,8183715
13-01-2023,597.900024,602.900024,593.650024,600.099976,588.660828,7877610
16-01-2023,603,606.099976,600.599976,603,591.505554,5483191
17-01-2023,603,606,586.049988,592.950012,581.647156,13461999
18-01-2023,595.900024,597.150024,587.599976,591.450012,580.17572,11538075
19-01-2023,591,591.75,587.549988,589.849976,578.606201,7475688
20-01-2023,593.799988,596.599976,590.799988,592.200012,580.911438,6750607
23-01-2023,598.5,601.75,592.950012,600.450012,589.00415,6604469
24-01-2023,603.5,604.599976,593.049988,594.349976,583.020386,7609623
25-01-2023,595.849976,595.849976,567.400024,568.700012,557.859375,25686294
27-01-2023,568,568.549988,532.25,539.950012,529.65741,40163464
30-01-2023,536,554.349976,525.200012,538.200012,527.940796,40797825
31-01-2023,545,557,537.849976,553.5,542.949097,21911943
01-02-2023,561.400024,565,499.350006,527.349976,517.297546,38218810
02-02-2023,520.200012,532.650024,502.5,528.099976,518.033264,39287056
03-02-2023,536,545.950012,519.150024,544.200012,533.826416,32317232
06-02-2023,558.799988,558.799988,536.549988,545.400024,535.00354,25338586
07-02-2023,548,551.400024,541.049988,547.099976,536.671082,16195947
08-02-2023,550,554.5,545.5,549.75,539.27063,15502847
09-02-2023,552,552,542.799988,550.799988,540.300598,15061047
10-02-2023,546.5,557.25,546.5,553.049988,542.50769,13824475
13-02-2023,554,556.900024,533.299988,537.5,527.25415,18488732
14-02-2023,539.950012,544.599976,530.75,540.849976,530.540222,18559909
15-02-2023,540,544.650024,536.799988,542.25,531.913574,12796579
16-02-2023,546.849976,546.849976,538.5,540.099976,529.804504,12767016
17-02-2023,538.5,539.650024,527.75,531,520.878052,14192008
20-02-2023,532,533.950012,522.150024,525.150024,515.139587,12570032
21-02-2023,527.099976,528.950012,522.400024,523.450012,513.471985,10223218
22-02-2023,520.75,521.900024,512.5,516.349976,506.507263,14763050
23-02-2023,516.950012,524,511.350006,521,511.068634,15535085
