Date,Open,High,Low,Close,Adj Close,Volume
2022-11-01,1902.250000,1940.900024,1902.250000,1908.849976,1907.280762,62469
2022-11-02,1919.500000,1919.500000,1898.300049,1909.599976,1908.030151,18331
2022-11-03,1910.000000,1912.050049,1893.099976,1899.849976,1898.288208,37129
2022-11-04,1892.349976,1907.250000,1892.349976,1900.650024,1899.087524,11702
2022-11-07,1900.000000,1909.800049,1872.000000,1883.050049,1881.502075,86133
2022-11-09,1895.050049,1903.500000,1880.449951,1896.449951,1894.890991,39228
2022-11-10,1889.000000,1915.000000,1889.000000,1912.550049,1910.977783,48977
2022-11-11,1926.050049,1931.300049,1891.449951,1898.599976,1897.039185,73194
2022-11-14,1898.000000,1928.650024,1898.000000,1922.699951,1921.119385,41397
2022-11-15,1923.000000,1932.349976,1896.000000,1913.449951,1911.876953,75236
2022-11-16,1900.199951,1968.000000,1900.199951,1965.650024,1964.034180,130437
2022-11-17,1965.650024,1965.650024,1942.300049,1950.199951,1948.596802,35300
2022-11-18,1967.750000,1997.000000,1948.400024,1958.849976,1957.239624,67535
2022-11-21,1957.900024,1957.900024,1933.449951,1943.400024,1941.802368,12326
2022-11-22,1955.000000,1955.000000,1929.199951,1939.550049,1937.955566,12709
2022-11-23,1952.900024,1961.050049,1947.199951,1953.400024,1951.794189,167767
2022-11-24,1955.000000,1956.000000,1933.199951,1946.849976,1945.249512,29616
2022-11-25,1950.000000,1950.000000,1919.349976,1928.449951,1926.864624,32837
2022-11-28,1910.050049,1942.500000,1910.050049,1928.599976,1927.014526,29945
2022-11-29,1928.150024,1937.900024,1923.050049,1925.949951,1924.366699,23685
2022-11-30,1935.000000,1953.599976,1916.000000,1945.599976,1944.000610,39280
2022-12-01,1951.000000,1961.000000,1928.650024,1934.150024,1932.560059,20718
2022-12-02,1912.050049,1933.000000,1912.050049,1930.849976,1929.262695,16727
2022-12-05,1940.000000,1941.650024,1920.000000,1938.449951,1936.856445,22406
2022-12-06,1916.550049,1942.500000,1916.550049,1935.050049,1933.459351,15862
2022-12-07,1937.949951,1937.949951,1906.599976,1911.099976,1909.528931,18999
2022-12-08,1908.000000,1908.000000,1876.300049,1897.300049,1895.740356,137109
2022-12-09,1908.000000,1916.250000,1879.400024,1887.400024,1885.848511,42400
2022-12-12,1856.300049,1879.400024,1856.300049,1865.900024,1864.366089,24034
2022-12-13,1867.000000,1872.000000,1857.699951,1868.550049,1867.013916,85713
2022-12-14,1868.099976,1876.099976,1864.500000,1873.050049,1871.510254,48711
2022-12-15,1882.800049,1882.800049,1854.050049,1864.500000,1862.967285,31324
